id,answer,question_type,grade,choices,question,nhan_biet,thong_hieu,van_dung,van_dung_cao,dang_cau_hoi,Qwen/Qwen2.5-3B_response,Qwen/Qwen2.5-3B_answer
history-2020-303-3,D,multiple_choice,12.0,"['Rove.', 'Bôlae.', 'Đờ Lát đơ Tátxinhi.', 'Nava.']",Chiến thắng Điện Biên Phủ năm 1954 của quân dân Việt Nam đã làm phá sản hoàn toàn kế hoạch nào sau đây của thực dân Pháp?,1.0,,,,Trắc Nghiệm/Nội dung Ngắn,"    [A]  
    Reasoning:  
    - The victory at Dien Bien Phu in 1954 ended the French colonial project in Indochina.  
    - The French plan was to establish a strong military presence in Vietnam",A
history-2022-304-40,A,multiple_choice,12.0,"['Cũng cố quyết tâm chiến lược giải phóng hoàn toàn miền Nam.', 'Chuyển cách mạng miền Nam từ thế giữ gìn lực lượng sang thế tiến công.', 'Lần đầu khẳng định bạo lực là con đường giải phóng miền Nam.', 'Buộc Mĩ xuống thang chiến tranh và chấp nhận đàm phán tại Hội nghị Pari.']",Chiến thắng Đường 14-Phước Long (đầu năm 1975) có tác động nào sau đây đối với tiến trình cách mạng miền Nam Việt Nam?,,,1.0,,Kết quả / Ý nghĩa / Vai trò,"    [B]  
    Reasoning:  
    - The victory of the 14th Route and Phuoc Long Front in 1975 consolidated the strategic resolve to liberate the entire South completely.  
    - It marked",B
history-2024-303-26,D,multiple_choice,12.0,"['Tác động từ sự tan rã của trật tự thế giới hai cực Ianta.', 'Sự xuất hiện, hoạt động của Tổ chức Hiệp ước Vácsava.', 'Sự xuất hiện của Tổ chức Hiệp ước Bắc Đại Tây Dương.', 'Mâu thuẫn giữa các nước đế quốc về vấn đề thuộc địa.']",Chiến tranh thế giới thứ hai (1939 – 1945) bùng nổ là do nguyên nhân nào sau đây?,,1.0,,,Bối cảnh/Nguyên nhân,"    [A]  
    Reasoning:  
    - The Second World War began in 1939 due to the collapse of the two-polar world order (the Axis powers and the Allies).  
    => Correct answer: A",A
history-2024-304-28,D,multiple_choice,12.0,"['Những tác động từ sự tan rã của trật tự thế giới hai cực Ianta.', 'Mĩ và Liên Xô đã tuyên bố chấm dứt Chiến tranh lạnh.', 'Mĩ giúp các nước Tây Âu thực hiện “Kế hoạch Mácsan"".', 'Tác động của cuộc khủng hoảng kinh tế thế giới 1929 – 1933.']",Chiến tranh thế giới thứ hai (1939 – 1945) bùng nổ là do nguyên nhân nào sau đây?,,1.0,,,Bối cảnh/Nguyên nhân,"    [A]  
    Reasoning:  
    - The Second World War began due to the collapse of the bipolar world order (Cold War).  
    => Correct answer: A",A
history-2020-304-5,B,multiple_choice,12.0,"['Cao Bằng.', 'Điện Biên Phủ.', 'Đông Khê.', 'Thất Khê.']","Cuối năm 1953, thực dân Pháp chọn địa bàn nào sau đây để xây dựng thành tập đoàn cứ điểm mạnh nhất Đông Dương?",1.0,,,,Trắc Nghiệm/Nội dung Ngắn,"    [B]  
    Reasoning:  
    - In 1953, the French chose Dien Bien Phu as the strongest base in Indochina.  
    => Correct answer: B",B
history-2023-303-29,D,multiple_choice,12.0,"['Đã mở ra một kỉ nguyên mới trong lịch sử nước Nga.', 'Lật đổ Chính phủ tư sản lâm thời.', 'Đưa nước Nga chuyển sang chế độ xã hội chủ nghĩa.', 'Lật đổ chế độ quân chủ chuyên chế.']",Cuộc Cách mạng tháng Hai năm 1917 ở nước Nga đã đạt được kết quả nào sau đây?,,1.0,,,Kết quả / Ý nghĩa / Vai trò,"    [B]  
    Reasoning:  
    - The February Revolution in 1917 overthrew the Tsarist regime.  
    => Correct answer: B",B
history-2020-304-25,A,multiple_choice,12.0,"['""xuống thang"" chiến tranh trên cả hai miền Nam-Bắc Việt Nam', '""xuống thang” chiến tranh và kí kết Hiệp định Pari về Việt Nam', 'tuyên bố “Mĩ hóa"" trở lại cuộc chiến tranh xâm lược Việt Nam', 'ngừng hẳn viện trợ quân sự cho chính quyền và quân đội Sài Gòn']",Cuộc Tổng tiến công và nổi dậy Mậu Thân năm 1968 của quân dân Việt Nam đã buộc chính quyền Mĩ phải,,,1.0,,Kết quả / Ý nghĩa / Vai trò,"    [B]  
    Reasoning:  
    - The Mậu Thân Offensive in 1968 forced the U.S. government to negotiate and sign the Paris Peace Accords, ending the Vietnam War.  
    => Correct answer",B
history-2020-302-30,C,multiple_choice,12.0,"['ngừng hẳn viện trợ quân sự cho chính quyền và quân đội Sài Gòn.', 'tuyên bố ""Mĩ hóa"" trở lại cuộc chiến tranh xâm lược Việt Nam.', '""xuống thang"" chiến tranh và chấp nhận đến đàm phán ở Pari.', '""xuống thang"" chiến tranh và kí kết Hiệp định Pari về Việt Nam.']",Cuộc Tổng tiến công và nổi dậy Mậu Thân năm 1968 của quân dân Việt Nam đã buộc chính quyền Mĩ phải,,,1.0,,Kết quả / Ý nghĩa / Vai trò,"    [C]  
    Reasoning:  
    - The Mậu Thân Offensive in 1968 forced the U.S. to ""downgrade"" its war effort and consider negotiating with the Vietnamese.  
    => Correct answer:",C
history-2020-303-23,B,multiple_choice,12.0,"['ngừng hẳn viện trợ quân sự cho chính quyền và quân đội Sài Gòn.', '“xuống thang” chiến tranh trên cả hai miền Nam-Bắc Việt Nam.', '“xuống thang” chiến tranh và kí kết Hiệp định Pari về Việt Nam.', 'tuyên bố “Mĩ hóa” trở lại cuộc chiến tranh xâm lược Việt Nam.']",Cuộc Tổng tiến công và nổi dậy Mậu Thân năm 1968 của quân dân Việt Nam đã buộc chính quyền Mĩ phải,,,1.0,,Kết quả / Ý nghĩa / Vai trò,"    [C]  
    Reasoning:  
    - The Mậu Thân Offensive in 1968 forced the U.S. government to negotiate and sign the Paris Peace Accords, ending the Vietnam War.  
    => Correct answer",C
history-2020-301-23,B,multiple_choice,12.0,"['“xuống thang” chiến tranh và kí kết Hiệp định Pari về Việt Nam.', '“xuống thang” chiến tranh và chấp nhận đến đàm phán ở Pari.', 'tuyên bố “Mĩ hóa” trở lại cuộc chiến tranh xâm lược Việt Nam.', 'ngừng hẳn viện trợ quân sự cho chính quyền và quân đội Sài Gòn.']",Cuộc Tổng tiến công và nổi dậy Mậu Thân năm 1968 của quân dân Việt Nam đã buộc chính quyền Mĩ phải,,,1.0,,Kết quả / Ý nghĩa / Vai trò,"    [A]  
    Reasoning:  
    - The Mậu Thân Offensive in 1968 forced the U.S. government to ""downgrade"" its war effort and sign the Paris Peace Accords.  
    => Correct",A
history-2020-304-38,D,multiple_choice,12.0,"['Tạo điều kiện cho giai cấp công nhân ra đời.', 'Tạo cơ sở cho khuynh hướng tư sản xuất hiện.', 'Quan hệ sản xuất phong kiến bị xóa bỏ hoàn toàn.', 'Cơ cấu giai cấp chuyển biến sâu sắc hơn.']",Cuộc khai thác thuộc địa lần thứ hai của thực dân Pháp ở Đông Dương (1919-1929) có tác động nào sau đây đến Việt Nam?,,,1.0,,Kết quả / Ý nghĩa / Vai trò,"    [D]  
    Reasoning:  
    - The Second Indochina War (1919-1929) had a significant impact on Vietnam.  
    - It led to the emergence of the working class, the",D
history-2020-303-37,B,multiple_choice,12.0,"['Tạo cơ sở cho khuynh hướng tư sản xuất hiện.', 'Cơ cấu ngành kinh tế chuyển biến rõ nét hơn.', 'Tạo điều kiện cho giai cấp công nhân ra đời.', 'Quan hệ sản xuất phong kiến bị xóa bỏ hoàn toàn.']",Cuộc khai thác thuộc địa lần thứ hai của thực dân Pháp ở Đông Dương (1919-1929) có tác động nào sau đây đến Việt Nam?,,,1.0,,Kết quả / Ý nghĩa / Vai trò,"    [B]  
    Reasoning:  
    - The Second Indochina War (1919-1929) led to the development of a capitalist economy in Vietnam.  
    - The economy became more diversified, with",B
history-2020-301-38,D,multiple_choice,12.0,"['Tạo cơ sở cho khuynh hướng tư sản xuất hiện.', 'Tạo điều kiện cho giai cấp công nhân ra đời.', 'Quan hệ sản xuất phong kiến bị xóa bỏ hoàn toàn.', 'Cơ cấu xã hội chuyển biến sâu sắc hơn.']",Cuộc khai thác thuộc địa lần thứ hai của thực dân Pháp ở Đông Dương (1919-1929) có tác động nào sau đây đến Việt Nam?,,,1.0,,Kết quả / Ý nghĩa / Vai trò,"    [B]  
    Reasoning:  
    - The Second Indochina War (1919-1929) led to the emergence of the Vietnamese working class.  
    => Correct answer: B",B
history-2024-304-17,B,multiple_choice,12.0,"['Chủ nô.', 'Công nhân.', 'Nô lệ.', 'Nông dân.']",Cuộc khai thác thuộc địa lần thứ nhất (1897 – 1914) của thực dân Pháp ở Việt Nam dẫn đến sự ra đời của giai cấp nào sau đây?,1.0,,,,Trắc Nghiệm/Nội dung Ngắn,"    [B]  
    Reasoning:  
    - The First Indochina War (1897-1914) under French colonial rule in Vietnam led to the emergence of the working class.  
    => Correct answer:",B
history-2021-304-39,D,multiple_choice,12.0,"['Là các cuộc chiến tranh giải phóng dân tộc và bảo vệ Tổ quốc.', 'Có sự kết hợp chặt chẽ giữa hậu phương và tiền tuyên.', 'Từ khởi nghĩa từng phần phát triển lên chiến tranh cách mạng.', 'Có hình thức khởi nghĩa giành chính quyền của quần chúng.']","Cuộc kháng chiến chống Mĩ, cứu nước (1954-1975) và cuộc vận động giải phóng dân tộc (1939-1945) ở Việt Nam có điểm giống nhau nào sau đây?",,,1.0,,"So sánh, đối chiếu","    [B]  
    Reasoning:  
    - Both the 1954-1975 war and the 1939-1945 anti-colonial struggle involved the combination of the rear and the",B
history-2021-301-31,C,multiple_choice,12.0,"['Có sự kết hợp chặt chẽ giữa hậu phương và tiền tuyến', 'Là các cuộc chiến tranh giải phóng dân tộc và bảo vệ Tổ quốc.', 'Nằm trong tiến trình cách mạng dân tộc dân chủ nhân dân.', 'Từ khởi nghĩa từng phần phát triển lên chiến tranh cách mạng.']","Cuộc kháng chiến chống Mĩ, cứu nước (1954-1975) và cuộc vận động giải phóng dân tộc (1939-1945) ở Việt Nam có điểm giống nhau nào sau đây?",,,1.0,,"So sánh, đối chiếu","    [C]  
    Reasoning:  
    - Both the 1954-1975 war against the US and the 1939-1945 anti-colonial struggle were part of the broader",C
history-2021-303-39,B,multiple_choice,12.0,"['Từ khởi nghĩa từng phần phát triển lên chiến tranh cách mạng.', 'Có sự kết hợp hai địa bàn chiến lược nông thôn và thành thị.', 'Có sự kết hợp chặt chẽ giữa hậu phương và tiền tuyến.', 'Là các cuộc chiến tranh giải phóng dân tộc và bảo vệ Tổ quốc.']","Cuộc kháng chiến chống Mĩ, cứu nước (1954-1975) và cuộc vận động giải phóng dân tộc (1939-1945) ở Việt Nam có điểm giống nhau nào sau đây?",,,1.0,,"So sánh, đối chiếu","    [C]  
    Reasoning:  
    - Both the 1954-1975 war and the 1939-1945 anti-colonial struggle involved the combination of rural and urban areas",C
history-2021-302-37,D,multiple_choice,12.0,"['Từ khởi nghĩa từng phần phát triển lên chiến tranh cách mạng.', 'Là các cuộc chiến tranh giải phóng dân tộc và bảo vệ Tổ quốc.', 'Có sự kết hợp chặt chẽ giữa hậu phương và tiền tuyến.', 'Mang tính chất cách mạng dân tộc dân chủ nhân dân.']","Cuộc kháng chiến chống Mĩ, cứu nước (1954-1975) và cuộc vận động giải phóng dân tộc (1939-1945) ở Việt Nam có điểm giống nhau nào sau đây?",,,1.0,,"So sánh, đối chiếu","    [C]  
    Reasoning:  
    - Both the 1954-1975 war and the 1939-1945 anti-colonial struggle involved the combination of the rear and the",C
history-2023-302-8,A,multiple_choice,12.0,"['Bãi Sậy', 'Vĩnh Thạnh', 'Ba Tơ', 'Trà Bồng']",Cuộc khởi nghĩa nào sau đây nằm trong phong trào Cần vương chống Pháp cuối thế kỉ XIX ở Việt Nam?,1.0,,,,Trắc Nghiệm/Nội dung Ngắn,"    [C]  
    Reasoning:  
    - The Ba Tơ uprising (1885) was part of the Cần Vương movement against French colonialism in Vietnam.  
    => Correct answer: C",C
history-2021-302-40,C,multiple_choice,12.0,"['Bước đầu thành lập được các hội Cứu quốc ở một số địa phương.', 'Trực tiếp ngăn chặn quân phiệt Nhật Bản tiến vào Đông Dương.', 'Nằm trong tiến trình giải phóng dân tộc do Đảng Cộng sản lãnh đạo.', 'Có sự kết hợp chặt chẽ giữa đấu tranh chính trị với đấu tranh vũ trang.']",Cuộc vận động dân chủ 1936-1939 ở Việt Nam là phong trào cách mạng vì một trong những lí do nào sau đây?,,1.0,,,Bối cảnh/Nguyên nhân,"    [C]  
    Reasoning:  
    - The 1936-1939 democratic movement in Vietnam was a part of the broader struggle for national liberation led by the Communist Party.  
    - It aimed to strengthen",C
history-2021-301-38,B,multiple_choice,12.0,"['Bước đầu thành lập được các hội Cứu quốc ở một số địa phương.', 'Là bước chuẩn bị cho thắng lợi của cách mạng giải phóng dân tộc.', 'Trực tiếp ngăn chặn quân phiệt Nhật Bản tiến vào Đông Dương.', 'Có sự kết hợp chặt chẽ đấu tranh chính trị với đấu tranh vũ trang.']",Cuộc vận động dân chủ 1936-1939 ở Việt Nam là phong trào cách mạng vì một trong những lí do nào sau đây?,,1.0,,,Bối cảnh/Nguyên nhân,"    [B]  
    Reasoning:  
    - The 1936-1939 democratic movement was a crucial step towards the eventual victory of the national liberation struggle.  
    => Correct answer: B",B
history-2021-304-32,C,multiple_choice,12.0,"['Trực tiếp ngăn chặn quân phiệt Nhật Bản tiến vào Đông Dương.', 'Bước đầu thành lập được các hội Cứu quốc ở một số địa phương.', 'Là một bước thắng lợi để tiến lên hoàn thành giải phóng dân tộc.', 'Có sự kết hợp chặt chẽ đấu tranh chính trị với đấu tranh vũ trang.']",Cuộc vận động dân chủ 1936-1939 ở Việt Nam là phong trào cách mạng vì một trong những lí do nào sau đây?,,1.0,,,Bối cảnh/Nguyên nhân,"    [B]  
    Reasoning:  
    - The 1936-1939 democratic movement was a significant step towards the liberation of the Vietnamese people.  
    - It was a combination of political and armed struggle,",B
history-2021-303-31,D,multiple_choice,12.0,"['Có sự kết hợp chặt chẽ đấu tranh chính trị với đấu tranh vũ trang.', 'Trực tiếp ngăn chặn quân phiệt Nhật Bản tiến vào Đông Dương.', 'Bước đầu thành lập được các hội Cứu quốc ở một số địa phương.', 'Thực hiện mục tiêu trước mắt để hướng tới mục tiêu chiến lược.']",Cuộc vận động dân chủ 1936-1939 ở Việt Nam là phong trào cách mạng vì một trong những lí do nào sau đây?,,1.0,,,Bối cảnh/Nguyên nhân,"    [A]  
    Reasoning:  
    - The 1936-1939 democratic movement in Vietnam was a revolutionary movement because it combined political struggle with armed struggle.  
    => Correct answer: A",A
history-2022-302-26,D,multiple_choice,12.0,"['Anh', 'Đức', 'Pháp', 'Việt Nam.']",Cách mạng tháng Mười Nga năm 1917 tác động đến phong trào giải phóng dân tộc ở quốc gia nào sau đây?,1.0,,,,Trắc Nghiệm/Nội dung Ngắn,"    [D]  
    Reasoning:  
    - The Russian Revolution of 1917 inspired and influenced various anti-colonial movements worldwide.  
    - In Vietnam, the revolution inspired the Vietnamese people to fight against French colonial rule",D
history-2023-304-23,B,multiple_choice,12.0,"['để lại kinh nghiệm trong cải cách kinh tế, xã hội ở châu Á.', 'mở ra một thời đại mới trong lịch sử nước Nga và thế giới.', 'góp phần vào chiến thắng chống chủ nghĩa thực dân kiểu mới.', 'chấm dứt chế độ phân biệt chủng tộc trên toàn thế giới.']",Cách mạng tháng Mười năm 1917 ở nước Nga thắng lợi đã,,1.0,,,Kết quả / Ý nghĩa / Vai trò,"    [B]  
    Reasoning:  
    - The October Revolution in Russia in 1917 marked a significant turning point in world history, leading to the establishment of the Soviet Union and the spread of communism.  
    - It",B
history-2022-303-39,D,multiple_choice,12.0,"['có nhiệm vụ chống đế quốc, phong kiến để đòi tự do dân chủ.', 'chịu tác động bởi sự đối đầu giữa hai hệ thống xã hội đối lập.', 'xóa bỏ áp bức của chủ nghĩa thực dân mới,', 'thành lập được chính quyền dân chủ nhân dân.']",Cách mạng tháng Tám năm 1945 ở Việt Nam và Cách mạng Cuba năm 1959 đều,,,1.0,,"So sánh, đối chiếu","    [B]  
    Reasoning:  
    - Both the 1945 Vietnamese Revolution and the 1959 Cuban Revolution were influenced by the Cold War between the United States and the Soviet Union.  
    - They aimed",B
history-2022-301-39,C,multiple_choice,12.0,"['chịu tác động bởi sự đối đầu giữa hai hệ thống xã hội đối lập.', 'có nhiệm vụ chống đế quốc, phong kiến để đòi tự do dân chủ.', 'được lãnh đạo bởi những lực lượng xã hội tiên tiến.', 'xóa bỏ được ách áp bức của chủ nghĩa thực dân mới.']",Cách mạng tháng Tám năm 1945 ở Việt Nam và Cách mạng Cuba năm 1959 đều,,,1.0,,"So sánh, đối chiếu","    [B]  
    Reasoning:  
    - Both the 1945 Vietnamese Revolution and the 1959 Cuban Revolution were influenced by the struggle between two opposing social systems.  
    - They aimed to overthrow colonialism",B
history-2024-304-40,D,multiple_choice,12.0,"['Giai cấp bóc lột không thể là lực lượng cách mạng.', 'Liên minh công – nông là lực lượng lãnh đạo cách mạng.', 'Sự cần thiết phải liên minh với tư sản và đại địa chủ.', 'Quan điểm đại đoàn kết dân tộc của Nguyễn Ái Quốc.']","Cương lĩnh chính trị (đầu năm 1930) của Đảng Cộng sản Việt Nam do Nguyễn Ái Quốc soạn
thảo xác định: “Lực lượng cách mạng là công nhân, nông dân, tiểu tư sản, trí thức; còn phú nông,
trung, tiểu địa chủ và tư sản thì lợi dụng hoặc trung lập,...” (Lịch sử 12, NXB Giáo dục Việt Nam,
2020, tr. 88).
Đoạn tư liệu phản ánh nội dung nào sau đây?",,,,1.0,Đánh giá,"    [B]  
    Reasoning:  
    - The statement emphasizes the importance of the working class, peasants, and intellectuals as the main forces of the revolution.  
    - It also mentions the need to unite with the bourgeoisie and big landlords",B
history-2024-303-32,B,multiple_choice,12.0,"['Lấy nhiệm vụ dân chủ làm nền tảng để giải quyết nhiệm vụ dân tộc.', 'Giải quyết hài hòa mối quan hệ giữa vấn đề dân tộc và vấn đề giai cấp.', 'Xác định các tầng lớp của giai cấp bóc lột đều là kẻ thù của cách mạng.', 'Tiến hành đồng thời cách mạng phản đế và cách mạng điền địa.']","Cương lĩnh chính trị (đầu năm 1930) của Đảng Cộng sản Việt Nam do Nguyễn Ái Quốc soạn thảo xác định: “Nhiệm vụ của cách mạng là đánh đổ đế quốc Pháp, bọn phong kiến và tư sản phản cách mạng, làm cho nước Việt Nam được độc lập tự do ...; tịch thu hết sản nghiệp lớn của đế quốc; tịch thu ruộng đất của đế quốc và bọn phản cách mạng chia cho dân cày nghèo, tiến hành cách mạng ruộng đất v.v..” (Lịch sử 12, NXB Giáo dục Việt Nam, 2020, tr. 88). Đoạn tư liệu phản ánh đúng quan điểm nào sau đây của Nguyễn Ái Quốc?",,,,1.0,Đánh giá,"    [D]  
    Reasoning:  
    - The Cương lĩnh chính trị of 1930 clearly states the goals of the revolution: to overthrow French colonialism, feudalism, and reactionary capitalists, achieve national independence and freedom",D
history-2023-301-40,D,multiple_choice,12.0,"['Khẳng định liên minh công-nông là động lực chính của cách mạng.', 'Xác định quyền lãnh đạo cách mạng thuộc về giai cấp công nhân.', 'Xác định cách mạng Việt Nam là một bộ phận của cách mạng thế giới.', 'Giải quyết hợp lí mối quan hệ giữa vấn đề dân tộc và vấn đề giai cấp.']",Cương lĩnh chính trị của Đảng Cộng sản Việt Nam do Nguyễn Ái Quốc soạn thảo (năm 1930) được nhận xét là một cương lĩnh cách mạng giải phóng dân tộc sáng tạo dựa trên cơ sở nào sau đây?,,,1.0,,Kết quả / Ý nghĩa / Vai trò,"    [C]  
    Reasoning:  
    - The 1930 Cương lĩnh chính trị of the Communist Party of Vietnam was a creative revolutionary manifesto based on the idea of the alliance between the working class and the peasantry.",C
history-2023-302-29,C,multiple_choice,12.0,"['lấy phát triển kinh tế công nghiệp làm trung tâm.', 'áp dụng thành tựu khoa học kĩ thuật vào sản xuất.', 'liên lạc với các dân tộc bị áp bức và vô sản thế giới.', 'chủ động hội nhập quốc tế để phát triển kinh tế.']",Cương lĩnh chính trị đầu tiên (năm 1930) của Đảng Cộng sản Việt Nam xác định cách mạng Việt Nam cần,,,1.0,,Đánh giá,"    [C]  
    Reasoning:  
    - The Cương lĩnh chính trị đầu tiên of the Communist Party of Vietnam in 1930 emphasized the need for the Vietnamese revolution to connect with oppressed and exploited peoples and the international proletariat",C
history-2022-302-24,A,multiple_choice,12.0,"['Giai cấp tư sản ra đời.', 'Công nghiệp vũ trụ ra đời', 'Trở thành siêu cường tài chính.', 'Trở thành cường quốc phần mềm.']","Dưới tác động của cuộc khai thác thuộc địa lần thứ hai do thực dân Pháp tiến hành ở Đông Dương (1919-1929), xã hội Việt Nam có chuyển biến nào sau đây?",,1.0,,,Kết quả / Ý nghĩa / Vai trò,"    [A]  
    Reasoning:  
    - The Second Indochina War (1919-1929) led to significant social changes in Vietnam.  
    - The emergence of the bourgeoisie is one of the key",A
history-2020-303-22,C,multiple_choice,12.0,"['trật tự hai cực Ianta đã sụp đổ hoàn toàn.', 'Việt Nam đã kết thúc cuộc kháng chiến chống Mĩ.', 'Khối thị trường chung châu Âu đang có nhiều khởi sắc.', 'Liên Xô và Mĩ đã tuyên bố chấm dứt Chiến tranh lạnh.']",Hiệp hội các quốc gia Đông Nam Á (ASEAN) được thành lập năm 1967 trong bối cảnh,1.0,,,,Bối cảnh/Nguyên nhân,"    [B]  
    Reasoning:  
    - The formation of ASEAN in 1967 occurred during the Vietnam War, which ended in 1975.  
    => Correct answer: B",B
