id,answer,question_type,grade,choices,question,nhan_biet,thong_hieu,van_dung,van_dung_cao,dang_cau_hoi,Viet-Mistral/Vistral-7B-Chat_response,Viet-Mistral/Vistral-7B-Chat_answer
history-2020-303-3,D,multiple_choice,12.0,"['Rove.', 'Bôlae.', 'Đờ Lát đơ Tátxinhi.', 'Nava.']",Chiến thắng Điện Biên Phủ năm 1954 của quân dân Việt Nam đã làm phá sản hoàn toàn kế hoạch nào sau đây của thực dân Pháp?,1.0,,,,Trắc Nghiệm/Nội dung Ngắn,"   Lập luận:
    - Kế hoạch Rove là kế hoạch của Pháp sau thất bại ở chiến dịch Thu Đông 1950.
    - Kế hoạch Đờ Lát đơ Tátxinhi là kế hoạch của Pháp sau thất bại ở chiến dịch Biên giới Thu Đông 1950.
    - Chiến thắng Điện Biên Phủ năm 1954 đã làm phá sản hoàn toàn kế hoạch Đờ Lát đơ Tátxinhi của Pháp.
    =>",
history-2022-304-40,A,multiple_choice,12.0,"['Cũng cố quyết tâm chiến lược giải phóng hoàn toàn miền Nam.', 'Chuyển cách mạng miền Nam từ thế giữ gìn lực lượng sang thế tiến công.', 'Lần đầu khẳng định bạo lực là con đường giải phóng miền Nam.', 'Buộc Mĩ xuống thang chiến tranh và chấp nhận đàm phán tại Hội nghị Pari.']",Chiến thắng Đường 14-Phước Long (đầu năm 1975) có tác động nào sau đây đối với tiến trình cách mạng miền Nam Việt Nam?,,,1.0,,Kết quả / Ý nghĩa / Vai trò,"   Lập luận:
    - Chiến thắng Đường 14-Phước Long là trận đánh lớn đầu tiên của Quân Giải phóng miền Nam Việt Nam trong năm 1975.
    - Chiến thắng này đã tạo ra bước ngoặt quan trọng trong cuộc chiến, tạo đà cho các chiến dịch tiếp theo.
    - Chiến thắng Đường 14-Phước Long đã góp phần vào việc chuyển cách mạng miền Nam từ thế giữ gìn lực lượng sang thế tiến công",
history-2024-303-26,D,multiple_choice,12.0,"['Tác động từ sự tan rã của trật tự thế giới hai cực Ianta.', 'Sự xuất hiện, hoạt động của Tổ chức Hiệp ước Vácsava.', 'Sự xuất hiện của Tổ chức Hiệp ước Bắc Đại Tây Dương.', 'Mâu thuẫn giữa các nước đế quốc về vấn đề thuộc địa.']",Chiến tranh thế giới thứ hai (1939 – 1945) bùng nổ là do nguyên nhân nào sau đây?,,1.0,,,Bối cảnh/Nguyên nhân,"   Lập luận:
    - Chiến tranh thế giới thứ hai bùng nổ do mâu thuẫn giữa các nước đế quốc về vấn đề thuộc địa.
    - Các phương án khác liên quan đến trật tự thế giới sau chiến tranh, không phải nguyên nhân trực tiếp.
    => Đáp án đúng là D. ",A
history-2024-304-28,D,multiple_choice,12.0,"['Những tác động từ sự tan rã của trật tự thế giới hai cực Ianta.', 'Mĩ và Liên Xô đã tuyên bố chấm dứt Chiến tranh lạnh.', 'Mĩ giúp các nước Tây Âu thực hiện “Kế hoạch Mácsan"".', 'Tác động của cuộc khủng hoảng kinh tế thế giới 1929 – 1933.']",Chiến tranh thế giới thứ hai (1939 – 1945) bùng nổ là do nguyên nhân nào sau đây?,,1.0,,,Bối cảnh/Nguyên nhân,"   Lập luận:
    - Chiến tranh thế giới thứ hai bùng nổ do nhiều nguyên nhân, trong đó có cuộc khủng hoảng kinh tế thế giới 1929 – 1933.
    - Cuộc khủng hoảng kinh tế đã làm gia tăng căng thẳng giữa các nước tư bản, dẫn đến sự hình thành các khối quân sự đối địch nhau.
    => Đáp án đúng là D. ",D
history-2020-304-5,B,multiple_choice,12.0,"['Cao Bằng.', 'Điện Biên Phủ.', 'Đông Khê.', 'Thất Khê.']","Cuối năm 1953, thực dân Pháp chọn địa bàn nào sau đây để xây dựng thành tập đoàn cứ điểm mạnh nhất Đông Dương?",1.0,,,,Trắc Nghiệm/Nội dung Ngắn,"   Lập luận:
    - Điện Biên Phủ là một thung lũng lòng chảo rộng lớn, có vị trí chiến lược quan trọng.
    - Pháp xây dựng Điện Biên Phủ thành tập đoàn cứ điểm mạnh nhất Đông Dương với mục tiêu ngăn chặn quân chủ lực Việt Minh, bảo vệ Tây Bắc và Thượng Lào.
    => Đáp án đúng là B. ",B
history-2023-303-29,D,multiple_choice,12.0,"['Đã mở ra một kỉ nguyên mới trong lịch sử nước Nga.', 'Lật đổ Chính phủ tư sản lâm thời.', 'Đưa nước Nga chuyển sang chế độ xã hội chủ nghĩa.', 'Lật đổ chế độ quân chủ chuyên chế.']",Cuộc Cách mạng tháng Hai năm 1917 ở nước Nga đã đạt được kết quả nào sau đây?,,1.0,,,Kết quả / Ý nghĩa / Vai trò,"   Lập luận:
    - Cách mạng tháng Hai năm 1917 ở Nga là cuộc cách mạng dân chủ tư sản, lật đổ chế độ quân chủ chuyên chế.
    - Kết quả của cuộc cách mạng này là lật đổ chế độ quân chủ chuyên chế, không phải chế độ xã hội chủ nghĩa.
    => Đáp án đúng là D. ",A
history-2020-304-25,A,multiple_choice,12.0,"['""xuống thang"" chiến tranh trên cả hai miền Nam-Bắc Việt Nam', '""xuống thang” chiến tranh và kí kết Hiệp định Pari về Việt Nam', 'tuyên bố “Mĩ hóa"" trở lại cuộc chiến tranh xâm lược Việt Nam', 'ngừng hẳn viện trợ quân sự cho chính quyền và quân đội Sài Gòn']",Cuộc Tổng tiến công và nổi dậy Mậu Thân năm 1968 của quân dân Việt Nam đã buộc chính quyền Mĩ phải,,,1.0,,Kết quả / Ý nghĩa / Vai trò,"   Lập luận:
    - Mậu Thân 1968 là một đòn giáng mạnh vào chiến lược chiến tranh của Mĩ, buộc Mĩ phải thay đổi chiến lược.
    - Mĩ buộc phải ""xuống thang"" chiến tranh và kí kết Hiệp định Pari về Việt Nam.
    => Đáp án đúng là B. ",C
history-2020-302-30,C,multiple_choice,12.0,"['ngừng hẳn viện trợ quân sự cho chính quyền và quân đội Sài Gòn.', 'tuyên bố ""Mĩ hóa"" trở lại cuộc chiến tranh xâm lược Việt Nam.', '""xuống thang"" chiến tranh và chấp nhận đến đàm phán ở Pari.', '""xuống thang"" chiến tranh và kí kết Hiệp định Pari về Việt Nam.']",Cuộc Tổng tiến công và nổi dậy Mậu Thân năm 1968 của quân dân Việt Nam đã buộc chính quyền Mĩ phải,,,1.0,,Kết quả / Ý nghĩa / Vai trò,"   Lập luận:
    - Cuộc Tổng tiến công và nổi dậy Mậu Thân năm 1968 đã gây bất ngờ lớn cho quân đội Mĩ và chính quyền Sài Gòn.
    - Cuộc tiến công đã làm suy yếu đáng kể quân đội Mĩ và chính quyền Sài Gòn, buộc Mĩ phải thay đổi chiến lược.
    - Mĩ buộc phải ""xuống thang"" chiến tranh và chấp nhận đến đàm phán ở Pari.
    => Đáp án đúng là",C
history-2020-303-23,B,multiple_choice,12.0,"['ngừng hẳn viện trợ quân sự cho chính quyền và quân đội Sài Gòn.', '“xuống thang” chiến tranh trên cả hai miền Nam-Bắc Việt Nam.', '“xuống thang” chiến tranh và kí kết Hiệp định Pari về Việt Nam.', 'tuyên bố “Mĩ hóa” trở lại cuộc chiến tranh xâm lược Việt Nam.']",Cuộc Tổng tiến công và nổi dậy Mậu Thân năm 1968 của quân dân Việt Nam đã buộc chính quyền Mĩ phải,,,1.0,,Kết quả / Ý nghĩa / Vai trò,"   Lập luận:
    - Mậu Thân 1968 là một đòn giáng mạnh vào chiến lược chiến tranh của Mĩ.
    - Sau Mậu Thân, Mĩ buộc phải thay đổi chiến lược, chuyển từ chiến lược “chiến tranh cục bộ” sang “Việt Nam hóa chiến tranh”.
    => Đáp án đúng là C. ",C
history-2020-301-23,B,multiple_choice,12.0,"['“xuống thang” chiến tranh và kí kết Hiệp định Pari về Việt Nam.', '“xuống thang” chiến tranh và chấp nhận đến đàm phán ở Pari.', 'tuyên bố “Mĩ hóa” trở lại cuộc chiến tranh xâm lược Việt Nam.', 'ngừng hẳn viện trợ quân sự cho chính quyền và quân đội Sài Gòn.']",Cuộc Tổng tiến công và nổi dậy Mậu Thân năm 1968 của quân dân Việt Nam đã buộc chính quyền Mĩ phải,,,1.0,,Kết quả / Ý nghĩa / Vai trò,"   Lập luận:
    - Cuộc Tổng tiến công và nổi dậy Mậu Thân năm 1968 đã gây bất ngờ lớn cho quân đội Mĩ và chính quyền Sài Gòn.
    - Cuộc tiến công đã làm suy yếu đáng kể quân đội Mĩ và chính quyền Sài Gòn, buộc Mĩ phải thay đổi chiến lược.
    - Hiệp định Pari về Việt Nam được kí kết sau đó, buộc Mĩ phải rút quân khỏi Việt Nam.
    => Đáp án",C
history-2020-304-38,D,multiple_choice,12.0,"['Tạo điều kiện cho giai cấp công nhân ra đời.', 'Tạo cơ sở cho khuynh hướng tư sản xuất hiện.', 'Quan hệ sản xuất phong kiến bị xóa bỏ hoàn toàn.', 'Cơ cấu giai cấp chuyển biến sâu sắc hơn.']",Cuộc khai thác thuộc địa lần thứ hai của thực dân Pháp ở Đông Dương (1919-1929) có tác động nào sau đây đến Việt Nam?,,,1.0,,Kết quả / Ý nghĩa / Vai trò,"   Lập luận:
    - Cuộc khai thác thuộc địa lần thứ hai của thực dân Pháp ở Đông Dương (1919-1929) đã có tác động sâu sắc đến xã hội Việt Nam.
    - Giai cấp công nhân và tư sản bắt đầu xuất hiện.
    => Đáp án đúng là B. ",B
history-2020-303-37,B,multiple_choice,12.0,"['Tạo cơ sở cho khuynh hướng tư sản xuất hiện.', 'Cơ cấu ngành kinh tế chuyển biến rõ nét hơn.', 'Tạo điều kiện cho giai cấp công nhân ra đời.', 'Quan hệ sản xuất phong kiến bị xóa bỏ hoàn toàn.']",Cuộc khai thác thuộc địa lần thứ hai của thực dân Pháp ở Đông Dương (1919-1929) có tác động nào sau đây đến Việt Nam?,,,1.0,,Kết quả / Ý nghĩa / Vai trò,"   Lập luận:
    - Cuộc khai thác thuộc địa lần thứ hai của Pháp đã tạo điều kiện cho giai cấp công nhân ra đời.
    - Giai cấp công nhân là sản phẩm của nền kinh tế tư bản chủ nghĩa, được hình thành trong quá trình phát triển của nền sản xuất tư bản chủ nghĩa.
    => Đáp án đúng là C. ",A
history-2020-301-38,D,multiple_choice,12.0,"['Tạo cơ sở cho khuynh hướng tư sản xuất hiện.', 'Tạo điều kiện cho giai cấp công nhân ra đời.', 'Quan hệ sản xuất phong kiến bị xóa bỏ hoàn toàn.', 'Cơ cấu xã hội chuyển biến sâu sắc hơn.']",Cuộc khai thác thuộc địa lần thứ hai của thực dân Pháp ở Đông Dương (1919-1929) có tác động nào sau đây đến Việt Nam?,,,1.0,,Kết quả / Ý nghĩa / Vai trò,"   Lập luận:
    - Cuộc khai thác thuộc địa lần thứ hai của thực dân Pháp ở Đông Dương (1919-1929) đã có tác động sâu sắc đến xã hội Việt Nam.
    - Giai cấp công nhân bắt đầu hình thành và phát triển, tạo điều kiện cho giai cấp công nhân ra đời.
    => Đáp án đúng là B. ",B
history-2024-304-17,B,multiple_choice,12.0,"['Chủ nô.', 'Công nhân.', 'Nô lệ.', 'Nông dân.']",Cuộc khai thác thuộc địa lần thứ nhất (1897 – 1914) của thực dân Pháp ở Việt Nam dẫn đến sự ra đời của giai cấp nào sau đây?,1.0,,,,Trắc Nghiệm/Nội dung Ngắn,"   Lập luận:
    - Cuộc khai thác thuộc địa lần thứ nhất của thực dân Pháp ở Việt Nam dẫn đến sự ra đời của giai cấp công nhân.
    - Giai cấp công nhân là tầng lớp xã hội mới, được hình thành từ quá trình công nghiệp hóa và đô thị hóa.
    => Đáp án đúng là B. ",A
history-2021-304-39,D,multiple_choice,12.0,"['Là các cuộc chiến tranh giải phóng dân tộc và bảo vệ Tổ quốc.', 'Có sự kết hợp chặt chẽ giữa hậu phương và tiền tuyên.', 'Từ khởi nghĩa từng phần phát triển lên chiến tranh cách mạng.', 'Có hình thức khởi nghĩa giành chính quyền của quần chúng.']","Cuộc kháng chiến chống Mĩ, cứu nước (1954-1975) và cuộc vận động giải phóng dân tộc (1939-1945) ở Việt Nam có điểm giống nhau nào sau đây?",,,1.0,,"So sánh, đối chiếu","   Lập luận:
    - Cả hai cuộc kháng chiến đều nhằm mục tiêu giải phóng dân tộc, bảo vệ Tổ quốc.
    - Cả hai cuộc kháng chiến đều có sự kết hợp chặt chẽ giữa hậu phương và tiền tuyến.
    - Cả hai cuộc kháng chiến đều từ khởi nghĩa từng phần phát triển lên chiến tranh cách mạng.
    => Đáp án đúng là A và B. ",C
history-2021-301-31,C,multiple_choice,12.0,"['Có sự kết hợp chặt chẽ giữa hậu phương và tiền tuyến', 'Là các cuộc chiến tranh giải phóng dân tộc và bảo vệ Tổ quốc.', 'Nằm trong tiến trình cách mạng dân tộc dân chủ nhân dân.', 'Từ khởi nghĩa từng phần phát triển lên chiến tranh cách mạng.']","Cuộc kháng chiến chống Mĩ, cứu nước (1954-1975) và cuộc vận động giải phóng dân tộc (1939-1945) ở Việt Nam có điểm giống nhau nào sau đây?",,,1.0,,"So sánh, đối chiếu","   Lập luận:
    - Cả hai cuộc kháng chiến đều nhằm mục tiêu giải phóng dân tộc và bảo vệ Tổ quốc.
    - Cả hai cuộc kháng chiến đều có sự kết hợp chặt chẽ giữa hậu phương và tiền tuyến.
    - Cả hai cuộc kháng chiến đều nằm trong tiến trình cách mạng dân tộc dân chủ nhân dân.
    => Đáp án đúng là B. ",C
history-2021-303-39,B,multiple_choice,12.0,"['Từ khởi nghĩa từng phần phát triển lên chiến tranh cách mạng.', 'Có sự kết hợp hai địa bàn chiến lược nông thôn và thành thị.', 'Có sự kết hợp chặt chẽ giữa hậu phương và tiền tuyến.', 'Là các cuộc chiến tranh giải phóng dân tộc và bảo vệ Tổ quốc.']","Cuộc kháng chiến chống Mĩ, cứu nước (1954-1975) và cuộc vận động giải phóng dân tộc (1939-1945) ở Việt Nam có điểm giống nhau nào sau đây?",,,1.0,,"So sánh, đối chiếu","   Lập luận:
    - Cả hai cuộc kháng chiến đều có sự kết hợp chặt chẽ giữa hậu phương và tiền tuyến.
    - Cả hai cuộc kháng chiến đều là các cuộc chiến tranh giải phóng dân tộc và bảo vệ Tổ quốc.
    => Đáp án đúng là D. ",C
history-2021-302-37,D,multiple_choice,12.0,"['Từ khởi nghĩa từng phần phát triển lên chiến tranh cách mạng.', 'Là các cuộc chiến tranh giải phóng dân tộc và bảo vệ Tổ quốc.', 'Có sự kết hợp chặt chẽ giữa hậu phương và tiền tuyến.', 'Mang tính chất cách mạng dân tộc dân chủ nhân dân.']","Cuộc kháng chiến chống Mĩ, cứu nước (1954-1975) và cuộc vận động giải phóng dân tộc (1939-1945) ở Việt Nam có điểm giống nhau nào sau đây?",,,1.0,,"So sánh, đối chiếu","   Lập luận:
    - Cả hai cuộc kháng chiến đều có mục tiêu chung là giải phóng dân tộc, bảo vệ Tổ quốc.
    - Cả hai cuộc kháng chiến đều có sự kết hợp chặt chẽ giữa hậu phương và tiền tuyến.
    => Đáp án đúng là B. ",C
history-2023-302-8,A,multiple_choice,12.0,"['Bãi Sậy', 'Vĩnh Thạnh', 'Ba Tơ', 'Trà Bồng']",Cuộc khởi nghĩa nào sau đây nằm trong phong trào Cần vương chống Pháp cuối thế kỉ XIX ở Việt Nam?,1.0,,,,Trắc Nghiệm/Nội dung Ngắn,"   Lập luận:
    - Phong trào Cần vương chống Pháp cuối thế kỉ XIX ở Việt Nam có nhiều cuộc khởi nghĩa.
    - Bãi Sậy, Vĩnh Thạnh, Ba Tơ và Trà Bồng là các cuộc khởi nghĩa trong phong trào Cần vương.
    => Đáp án đúng là A. ",A
history-2021-302-40,C,multiple_choice,12.0,"['Bước đầu thành lập được các hội Cứu quốc ở một số địa phương.', 'Trực tiếp ngăn chặn quân phiệt Nhật Bản tiến vào Đông Dương.', 'Nằm trong tiến trình giải phóng dân tộc do Đảng Cộng sản lãnh đạo.', 'Có sự kết hợp chặt chẽ giữa đấu tranh chính trị với đấu tranh vũ trang.']",Cuộc vận động dân chủ 1936-1939 ở Việt Nam là phong trào cách mạng vì một trong những lí do nào sau đây?,,1.0,,,Bối cảnh/Nguyên nhân,"   Lập luận:
    - Cuộc vận động dân chủ 1936-1939 là phong trào cách mạng do Đảng Cộng sản lãnh đạo.
    - Mục tiêu chính của phong trào là đòi tự do, dân chủ, cơm áo và hòa bình.
    - Phong trào có sự kết hợp giữa đấu tranh chính trị và đấu tranh vũ trang.
    => Đáp án đúng là C. ",C
history-2021-301-38,B,multiple_choice,12.0,"['Bước đầu thành lập được các hội Cứu quốc ở một số địa phương.', 'Là bước chuẩn bị cho thắng lợi của cách mạng giải phóng dân tộc.', 'Trực tiếp ngăn chặn quân phiệt Nhật Bản tiến vào Đông Dương.', 'Có sự kết hợp chặt chẽ đấu tranh chính trị với đấu tranh vũ trang.']",Cuộc vận động dân chủ 1936-1939 ở Việt Nam là phong trào cách mạng vì một trong những lí do nào sau đây?,,1.0,,,Bối cảnh/Nguyên nhân,"   Lập luận:
    - Cuộc vận động dân chủ 1936-1939 là phong trào cách mạng do Đảng Cộng sản Việt Nam lãnh đạo.
    - Mục tiêu chính của phong trào là đòi tự do, dân chủ, cơm áo và hòa bình.
    - Phong trào đã góp phần làm cho chính quyền thực dân Pháp phải nhượng bộ một số yêu sách của nhân dân Việt Nam.
    - Tuy nhiên, phong trào chưa đạt được mục tiêu",
history-2021-304-32,C,multiple_choice,12.0,"['Trực tiếp ngăn chặn quân phiệt Nhật Bản tiến vào Đông Dương.', 'Bước đầu thành lập được các hội Cứu quốc ở một số địa phương.', 'Là một bước thắng lợi để tiến lên hoàn thành giải phóng dân tộc.', 'Có sự kết hợp chặt chẽ đấu tranh chính trị với đấu tranh vũ trang.']",Cuộc vận động dân chủ 1936-1939 ở Việt Nam là phong trào cách mạng vì một trong những lí do nào sau đây?,,1.0,,,Bối cảnh/Nguyên nhân,"   Lập luận:
    - Cuộc vận động dân chủ 1936-1939 là phong trào cách mạng do Đảng Cộng sản Việt Nam lãnh đạo.
    - Mục tiêu chính của phong trào là đòi tự do, dân chủ, cơm áo và hòa bình.
    - Tuy nhiên, phong trào cũng có ý nghĩa quan trọng trong việc xây dựng lực lượng chính trị và căn cứ địa cách mạng, chuẩn bị cho Tổng khởi nghĩa tháng Tám năm 19",
history-2021-303-31,D,multiple_choice,12.0,"['Có sự kết hợp chặt chẽ đấu tranh chính trị với đấu tranh vũ trang.', 'Trực tiếp ngăn chặn quân phiệt Nhật Bản tiến vào Đông Dương.', 'Bước đầu thành lập được các hội Cứu quốc ở một số địa phương.', 'Thực hiện mục tiêu trước mắt để hướng tới mục tiêu chiến lược.']",Cuộc vận động dân chủ 1936-1939 ở Việt Nam là phong trào cách mạng vì một trong những lí do nào sau đây?,,1.0,,,Bối cảnh/Nguyên nhân,"   Lập luận:
    - Cuộc vận động dân chủ 1936-1939 là phong trào cách mạng do Đảng Cộng sản Việt Nam lãnh đạo.
    - Mục tiêu trước mắt của phong trào là đòi tự do, dân sinh, dân chủ, cải thiện đời sống cho nhân dân.
    - Mục tiêu chiến lược là đánh đổ đế quốc Pháp, phong kiến, thực hiện độc lập dân tộc và người cày có ruộng.
    => Đáp án đúng",
history-2022-302-26,D,multiple_choice,12.0,"['Anh', 'Đức', 'Pháp', 'Việt Nam.']",Cách mạng tháng Mười Nga năm 1917 tác động đến phong trào giải phóng dân tộc ở quốc gia nào sau đây?,1.0,,,,Trắc Nghiệm/Nội dung Ngắn,"   Lập luận:
    - Cách mạng tháng Mười Nga năm 1917 đã tác động sâu sắc đến phong trào giải phóng dân tộc ở nhiều nước thuộc địa, trong đó có Việt Nam.
    - Các nước Anh, Đức, Pháp không bị ảnh hưởng trực tiếp bởi Cách mạng tháng Mười Nga.
    => Đáp án đúng là D. ",A
