,id,answer,question_type,grade,choices,question,nhan_biet,thong_hieu,van_dung,van_dung_cao,dang_cau_hoi,Model Inference,Model Answer
10,history-2020-303-3,D,multiple_choice,12.0,"['Rove.', 'Bôlae.', 'Đờ Lát đơ Tátxinhi.', 'Nava.']",Chiến thắng Điện Biên Phủ năm 1954 của quân dân Việt Nam đã làm phá sản hoàn toàn kế hoạch nào sau đây của thực dân Pháp?,1.0,,,,Trắc Nghiệm/Nội dung Ngắn," toàn kế hoạch nào sau đây của thực dân Pháp?

    Options:  A. Rove.
B. Bôlae.
C. Đờ Lát đơ Tátxinhi.
D. Nava.

    Answer:
model
[D] Điện Biên Phủ destroyed the Navarre Plan—the last major French military strategy aimed at achieving decisive victory within 18 months. The Rove, Bôlae, and De Lattre plans had already been defeated earlier.",D
11,history-2022-304-40,A,multiple_choice,12.0,"['Cũng cố quyết tâm chiến lược giải phóng hoàn toàn miền Nam.', 'Chuyển cách mạng miền Nam từ thế giữ gìn lực lượng sang thế tiến công.', 'Lần đầu khẳng định bạo lực là con đường giải phóng miền Nam.', 'Buộc Mĩ xuống thang chiến tranh và chấp nhận đàm phán tại Hội nghị Pari.']",Chiến thắng Đường 14-Phước Long (đầu năm 1975) có tác động nào sau đây đối với tiến trình cách mạng miền Nam Việt Nam?,,,1.0,,Kết quả / Ý nghĩa / Vai trò,":
model
[A] The victory at Route 14-Phước Long demonstrated the U.S. unwillingness to intervene militarily, bolstering the South Vietnamese forces’ confidence and solidifying the strategic determination to liberate the entire South.",A
12,history-2024-303-26,D,multiple_choice,12.0,"['Tác động từ sự tan rã của trật tự thế giới hai cực Ianta.', 'Sự xuất hiện, hoạt động của Tổ chức Hiệp ước Vácsava.', 'Sự xuất hiện của Tổ chức Hiệp ước Bắc Đại Tây Dương.', 'Mâu thuẫn giữa các nước đế quốc về vấn đề thuộc địa.']",Chiến tranh thế giới thứ hai (1939 – 1945) bùng nổ là do nguyên nhân nào sau đây?,,1.0,,,Bối cảnh/Nguyên nhân," thuộc địa.

    Answer:
model
[D] The fundamental cause was the intense conflict between imperialist powers over markets and colonies. Options A, B, and C relate to the post-1945 period, not the outbreak of WWII.",D
13,history-2024-304-28,D,multiple_choice,12.0,"['Những tác động từ sự tan rã của trật tự thế giới hai cực Ianta.', 'Mĩ và Liên Xô đã tuyên bố chấm dứt Chiến tranh lạnh.', 'Mĩ giúp các nước Tây Âu thực hiện “Kế hoạch Mácsan"".', 'Tác động của cuộc khủng hoảng kinh tế thế giới 1929 – 1933.']",Chiến tranh thế giới thứ hai (1939 – 1945) bùng nổ là do nguyên nhân nào sau đây?,,1.0,,,Bối cảnh/Nguyên nhân,"[D] The Great Depression of 1929-1933 created widespread economic instability and protectionist policies, exacerbating international tensions and contributing to the rise of aggressive nationalism, which ultimately fueled the outbreak of World War II. Options",D
14,history-2020-304-5,B,multiple_choice,12.0,"['Cao Bằng.', 'Điện Biên Phủ.', 'Đông Khê.', 'Thất Khê.']","Cuối năm 1953, thực dân Pháp chọn địa bàn nào sau đây để xây dựng thành tập đoàn cứ điểm mạnh nhất Đông Dương?",1.0,,,,Trắc Nghiệm/Nội dung Ngắn," đây để xây dựng thành tập đoàn cứ điểm mạnh nhất Đông Dương?

    Options:  A. Cao Bằng.
B. Điện Biên Phủ.
C. Đông Khê.
D. Thất Khê.

    Answer:
model
[C] The French chose Đông Khê as the base for constructing a strong fortified area in French Indochina by the end of 1953. This was part of their plan to regain control of the region, and Đông Khê",C
15,history-2023-303-29,D,multiple_choice,12.0,"['Đã mở ra một kỉ nguyên mới trong lịch sử nước Nga.', 'Lật đổ Chính phủ tư sản lâm thời.', 'Đưa nước Nga chuyển sang chế độ xã hội chủ nghĩa.', 'Lật đổ chế độ quân chủ chuyên chế.']",Cuộc Cách mạng tháng Hai năm 1917 ở nước Nga đã đạt được kết quả nào sau đây?,,1.0,,,Kết quả / Ý nghĩa / Vai trò,"ưa nước Nga chuyển sang chế độ xã hội chủ nghĩa.
D. Lật đổ chế độ quân chủ chuyên chế.

    Answer:
model
[A] The February Revolution initiated a new era in Russian history, marking a transition from autocracy to a period of political instability and the rise of the Soviets. While it led to the downfall of the Provisional Government and the establishment of the Soviets (",A
16,history-2020-304-25,A,multiple_choice,12.0,"['""xuống thang"" chiến tranh trên cả hai miền Nam-Bắc Việt Nam', '""xuống thang” chiến tranh và kí kết Hiệp định Pari về Việt Nam', 'tuyên bố “Mĩ hóa"" trở lại cuộc chiến tranh xâm lược Việt Nam', 'ngừng hẳn viện trợ quân sự cho chính quyền và quân đội Sài Gòn']",Cuộc Tổng tiến công và nổi dậy Mậu Thân năm 1968 của quân dân Việt Nam đã buộc chính quyền Mĩ phải,,,1.0,,Kết quả / Ý nghĩa / Vai trò,"
model
[B] The Tet Offensive demonstrated to the American public and policymakers that the war was far from over and that the Viet Cong and North Vietnamese forces were capable of sustained, coordinated attacks. This led to a shift in American strategy, resulting in the signing",B
17,history-2020-302-30,C,multiple_choice,12.0,"['ngừng hẳn viện trợ quân sự cho chính quyền và quân đội Sài Gòn.', 'tuyên bố ""Mĩ hóa"" trở lại cuộc chiến tranh xâm lược Việt Nam.', '""xuống thang"" chiến tranh và chấp nhận đến đàm phán ở Pari.', '""xuống thang"" chiến tranh và kí kết Hiệp định Pari về Việt Nam.']",Cuộc Tổng tiến công và nổi dậy Mậu Thân năm 1968 của quân dân Việt Nam đã buộc chính quyền Mĩ phải,,,1.0,,Kết quả / Ý nghĩa / Vai trò,"[C] The massive Spring Offensive forced the US to de-escalate and consider negotiations. While the Paris Peace Talks followed, Mậu Thân demonstrated the strength of the Vietnamese resistance and compelled the US to shift its strategy and acknowledge the need for",C
18,history-2020-303-23,B,multiple_choice,12.0,"['ngừng hẳn viện trợ quân sự cho chính quyền và quân đội Sài Gòn.', '“xuống thang” chiến tranh trên cả hai miền Nam-Bắc Việt Nam.', '“xuống thang” chiến tranh và kí kết Hiệp định Pari về Việt Nam.', 'tuyên bố “Mĩ hóa” trở lại cuộc chiến tranh xâm lược Việt Nam.']",Cuộc Tổng tiến công và nổi dậy Mậu Thân năm 1968 của quân dân Việt Nam đã buộc chính quyền Mĩ phải,,,1.0,,Kết quả / Ý nghĩa / Vai trò,"[C] The Tet Offensive demonstrated to the American public and policymakers that the war was far from over and that the Viet Cong and North Vietnamese forces were capable of sustained, coordinated attacks. This led to a shift in American strategy, culminating in the Paris",C
19,history-2020-301-23,B,multiple_choice,12.0,"['“xuống thang” chiến tranh và kí kết Hiệp định Pari về Việt Nam.', '“xuống thang” chiến tranh và chấp nhận đến đàm phán ở Pari.', 'tuyên bố “Mĩ hóa” trở lại cuộc chiến tranh xâm lược Việt Nam.', 'ngừng hẳn viện trợ quân sự cho chính quyền và quân đội Sài Gòn.']",Cuộc Tổng tiến công và nổi dậy Mậu Thân năm 1968 của quân dân Việt Nam đã buộc chính quyền Mĩ phải,,,1.0,,Kết quả / Ý nghĩa / Vai trò,[A] The Tet Offensive (Mậu Thân) demonstrated that the Viet Cong and North Vietnamese forces were still capable of inflicting significant damage and disrupting the illusion of American control. This forced the US to re-evaluate its strategy and consider a negotiated,A
20,history-2020-304-38,D,multiple_choice,12.0,"['Tạo điều kiện cho giai cấp công nhân ra đời.', 'Tạo cơ sở cho khuynh hướng tư sản xuất hiện.', 'Quan hệ sản xuất phong kiến bị xóa bỏ hoàn toàn.', 'Cơ cấu giai cấp chuyển biến sâu sắc hơn.']",Cuộc khai thác thuộc địa lần thứ hai của thực dân Pháp ở Đông Dương (1919-1929) có tác động nào sau đây đến Việt Nam?,,,1.0,,Kết quả / Ý nghĩa / Vai trò,"
[B] The Second Indochina War created the conditions for the emergence of a bourgeois (middle class) trend. The French policies of economic exploitation and land reform, while not immediately leading to a socialist revolution, did foster a growing middle class of",B
21,history-2020-303-37,B,multiple_choice,12.0,"['Tạo cơ sở cho khuynh hướng tư sản xuất hiện.', 'Cơ cấu ngành kinh tế chuyển biến rõ nét hơn.', 'Tạo điều kiện cho giai cấp công nhân ra đời.', 'Quan hệ sản xuất phong kiến bị xóa bỏ hoàn toàn.']",Cuộc khai thác thuộc địa lần thứ hai của thực dân Pháp ở Đông Dương (1919-1929) có tác động nào sau đây đến Việt Nam?,,,1.0,,Kết quả / Ý nghĩa / Vai trò,"[A] The Second Franco-Vietnamese Colonial Exploitation created the conditions for the emergence of the bourgeoisie. The economic policies of this period favored French businesses and landowners, fostering a growing capitalist class within Vietnam. Options B, C, and D are",A
22,history-2020-301-38,D,multiple_choice,12.0,"['Tạo cơ sở cho khuynh hướng tư sản xuất hiện.', 'Tạo điều kiện cho giai cấp công nhân ra đời.', 'Quan hệ sản xuất phong kiến bị xóa bỏ hoàn toàn.', 'Cơ cấu xã hội chuyển biến sâu sắc hơn.']",Cuộc khai thác thuộc địa lần thứ hai của thực dân Pháp ở Đông Dương (1919-1929) có tác động nào sau đây đến Việt Nam?,,,1.0,,Kết quả / Ý nghĩa / Vai trò,"
[B] The Second Indochina War created conditions for the emergence of the proletariat. The French exploitation led to increased industrialization and the growth of a wage-earning class, laying the groundwork for the development of a working class and, eventually",B
23,history-2024-304-17,B,multiple_choice,12.0,"['Chủ nô.', 'Công nhân.', 'Nô lệ.', 'Nông dân.']",Cuộc khai thác thuộc địa lần thứ nhất (1897 – 1914) của thực dân Pháp ở Việt Nam dẫn đến sự ra đời của giai cấp nào sau đây?,1.0,,,,Trắc Nghiệm/Nội dung Ngắn,"
B. Công nhân.
C. Nô lệ.
D. Nông dân.

    Answer:
model
[A] The First Indochina War (1897-1914) resulted in the emergence of the slave class. The French colonial policies, including the abolition of slavery and the imposition of forced labor, created a new class",A
24,history-2021-304-39,D,multiple_choice,12.0,"['Là các cuộc chiến tranh giải phóng dân tộc và bảo vệ Tổ quốc.', 'Có sự kết hợp chặt chẽ giữa hậu phương và tiền tuyên.', 'Từ khởi nghĩa từng phần phát triển lên chiến tranh cách mạng.', 'Có hình thức khởi nghĩa giành chính quyền của quần chúng.']","Cuộc kháng chiến chống Mĩ, cứu nước (1954-1975) và cuộc vận động giải phóng dân tộc (1939-1945) ở Việt Nam có điểm giống nhau nào sau đây?",,,1.0,,"So sánh, đối chiếu","model
[B] Both movements utilized a closely integrated strategy of rear-area support and propaganda, crucial for sustaining the war effort and mobilizing the population. The other options describe specific aspects of each conflict but not the fundamental similarity in their strategic approach. Option A",B
25,history-2021-301-31,C,multiple_choice,12.0,"['Có sự kết hợp chặt chẽ giữa hậu phương và tiền tuyến', 'Là các cuộc chiến tranh giải phóng dân tộc và bảo vệ Tổ quốc.', 'Nằm trong tiến trình cách mạng dân tộc dân chủ nhân dân.', 'Từ khởi nghĩa từng phần phát triển lên chiến tranh cách mạng.']","Cuộc kháng chiến chống Mĩ, cứu nước (1954-1975) và cuộc vận động giải phóng dân tộc (1939-1945) ở Việt Nam có điểm giống nhau nào sau đây?",,,1.0,,"So sánh, đối chiếu","model
[B] Both were national liberation wars and wars to defend the Fatherland. They were fundamentally aimed at achieving independence and self-determination for Vietnam, reflecting a common ideological and strategic goal.

Here's why the other options are less accurate:",B
26,history-2021-303-39,B,multiple_choice,12.0,"['Từ khởi nghĩa từng phần phát triển lên chiến tranh cách mạng.', 'Có sự kết hợp hai địa bàn chiến lược nông thôn và thành thị.', 'Có sự kết hợp chặt chẽ giữa hậu phương và tiền tuyến.', 'Là các cuộc chiến tranh giải phóng dân tộc và bảo vệ Tổ quốc.']","Cuộc kháng chiến chống Mĩ, cứu nước (1954-1975) và cuộc vận động giải phóng dân tộc (1939-1945) ở Việt Nam có điểm giống nhau nào sau đây?",,,1.0,,"So sánh, đối chiếu","[C] Both movements consistently integrated rear-area support with frontline operations, recognizing the crucial interdependence of the two. The guerilla tactics and logistical networks developed during the anti-French wars were directly applied to the struggle against the US, demonstrating a consistent",C
27,history-2021-302-37,D,multiple_choice,12.0,"['Từ khởi nghĩa từng phần phát triển lên chiến tranh cách mạng.', 'Là các cuộc chiến tranh giải phóng dân tộc và bảo vệ Tổ quốc.', 'Có sự kết hợp chặt chẽ giữa hậu phương và tiền tuyến.', 'Mang tính chất cách mạng dân tộc dân chủ nhân dân.']","Cuộc kháng chiến chống Mĩ, cứu nước (1954-1975) và cuộc vận động giải phóng dân tộc (1939-1945) ở Việt Nam có điểm giống nhau nào sau đây?",,,1.0,,"So sánh, đối chiếu","model
[B] Both conflicts were fundamentally about national liberation and defending the nation. The First Indochina War (1954-1975) and the Vietnamese Independence Movement (1939-1945) were both",B
28,history-2023-302-8,A,multiple_choice,12.0,"['Bãi Sậy', 'Vĩnh Thạnh', 'Ba Tơ', 'Trà Bồng']",Cuộc khởi nghĩa nào sau đây nằm trong phong trào Cần vương chống Pháp cuối thế kỉ XIX ở Việt Nam?,1.0,,,,Trắc Nghiệm/Nội dung Ngắn," trong phong trào Cần vương chống Pháp cuối thế kỉ XIX ở Việt Nam?

    Options:  A. Bãi Sậy
B. Vĩnh Thạnh
C. Ba Tơ
D. Trà Bồng

    Answer:
model
[B] The Vĩnh Tạnh uprising was a key part of the Cần Vương movement, representing the resistance of landlords and peasants against French colonial rule in the early stages of the movement. Bãi Sậy was later, during the French conquest",B
29,history-2021-302-40,C,multiple_choice,12.0,"['Bước đầu thành lập được các hội Cứu quốc ở một số địa phương.', 'Trực tiếp ngăn chặn quân phiệt Nhật Bản tiến vào Đông Dương.', 'Nằm trong tiến trình giải phóng dân tộc do Đảng Cộng sản lãnh đạo.', 'Có sự kết hợp chặt chẽ giữa đấu tranh chính trị với đấu tranh vũ trang.']",Cuộc vận động dân chủ 1936-1939 ở Việt Nam là phong trào cách mạng vì một trong những lí do nào sau đây?,,1.0,,,Bối cảnh/Nguyên nhân,[C] The movement was part of the process of national liberation led by the Communist Party. The 1936-1939 democratic movement was a crucial step in mobilizing the Vietnamese population and preparing them for the larger struggle against French,C
30,history-2021-301-38,B,multiple_choice,12.0,"['Bước đầu thành lập được các hội Cứu quốc ở một số địa phương.', 'Là bước chuẩn bị cho thắng lợi của cách mạng giải phóng dân tộc.', 'Trực tiếp ngăn chặn quân phiệt Nhật Bản tiến vào Đông Dương.', 'Có sự kết hợp chặt chẽ đấu tranh chính trị với đấu tranh vũ trang.']",Cuộc vận động dân chủ 1936-1939 ở Việt Nam là phong trào cách mạng vì một trong những lí do nào sau đây?,,1.0,,,Bối cảnh/Nguyên nhân,"model
[B] The Dong Minh movement (1936-1939) served as a crucial preparatory stage for the eventual victory of the nationwide liberation revolution. It mobilized a broad base of support, strengthened nationalist sentiment, and built organizational capacity",B
31,history-2021-304-32,C,multiple_choice,12.0,"['Trực tiếp ngăn chặn quân phiệt Nhật Bản tiến vào Đông Dương.', 'Bước đầu thành lập được các hội Cứu quốc ở một số địa phương.', 'Là một bước thắng lợi để tiến lên hoàn thành giải phóng dân tộc.', 'Có sự kết hợp chặt chẽ đấu tranh chính trị với đấu tranh vũ trang.']",Cuộc vận động dân chủ 1936-1939 ở Việt Nam là phong trào cách mạng vì một trong những lí do nào sau đây?,,1.0,,,Bối cảnh/Nguyên nhân,"model
[C] The movement was a victory step towards completing national liberation. The campaign laid the groundwork for future uprisings and ultimately contributed to the independence of Vietnam.

Here’s the reasoning:

The Dân chủ 1936-1",C
32,history-2021-303-31,D,multiple_choice,12.0,"['Có sự kết hợp chặt chẽ đấu tranh chính trị với đấu tranh vũ trang.', 'Trực tiếp ngăn chặn quân phiệt Nhật Bản tiến vào Đông Dương.', 'Bước đầu thành lập được các hội Cứu quốc ở một số địa phương.', 'Thực hiện mục tiêu trước mắt để hướng tới mục tiêu chiến lược.']",Cuộc vận động dân chủ 1936-1939 ở Việt Nam là phong trào cách mạng vì một trong những lí do nào sau đây?,,1.0,,,Bối cảnh/Nguyên nhân,"[D] The movement aimed to achieve immediate goals – like pressuring the French for reforms – while simultaneously laying the groundwork for the long-term strategic objective of independence. Options A, B, and C were secondary effects or aspects of the movement,",D
33,history-2022-302-26,D,multiple_choice,12.0,"['Anh', 'Đức', 'Pháp', 'Việt Nam.']",Cách mạng tháng Mười Nga năm 1917 tác động đến phong trào giải phóng dân tộc ở quốc gia nào sau đây?,1.0,,,,Trắc Nghiệm/Nội dung Ngắn," history question: Cách mạng tháng Mười Nga năm 1917 tác động đến phong trào giải phóng dân tộc ở quốc gia nào sau đây?

    Options:  A. Anh
B. Đức
C. Pháp
D. Việt Nam.

    Answer:
model
[D] The October Revolution demonstrated the possibility of overthrowing a foreign-imposed government and establishing a socialist state, inspiring nationalist movements throughout Asia and Africa, including Vietnam, which was then under French colonial rule. The success of the Bolsheviks provided a",D
34,history-2023-304-23,B,multiple_choice,12.0,"['để lại kinh nghiệm trong cải cách kinh tế, xã hội ở châu Á.', 'mở ra một thời đại mới trong lịch sử nước Nga và thế giới.', 'góp phần vào chiến thắng chống chủ nghĩa thực dân kiểu mới.', 'chấm dứt chế độ phân biệt chủng tộc trên toàn thế giới.']",Cách mạng tháng Mười năm 1917 ở nước Nga thắng lợi đã,,1.0,,,Kết quả / Ý nghĩa / Vai trò," chấm dứt chế độ phân biệt chủng tộc trên toàn thế giới.

    Answer:
model
[B] The October Revolution ushered in a new era for Russia and the world, establishing the world’s first communist state and profoundly impacting global politics and ideology. While the other options have elements of truth, the core significance of the revolution lies in",B
35,history-2022-303-39,D,multiple_choice,12.0,"['có nhiệm vụ chống đế quốc, phong kiến để đòi tự do dân chủ.', 'chịu tác động bởi sự đối đầu giữa hai hệ thống xã hội đối lập.', 'xóa bỏ áp bức của chủ nghĩa thực dân mới,', 'thành lập được chính quyền dân chủ nhân dân.']",Cách mạng tháng Tám năm 1945 ở Việt Nam và Cách mạng Cuba năm 1959 đều,,,1.0,,"So sánh, đối chiếu",". thành lập được chính quyền dân chủ nhân dân.

    Answer:
model
[A] Both revolutions were driven by the goal of overthrowing colonial powers and feudal regimes to achieve self-determination and democratic freedoms. While the influence of opposing social systems (B) played a role, the primary objective was the same – anti-",A
36,history-2022-301-39,C,multiple_choice,12.0,"['chịu tác động bởi sự đối đầu giữa hai hệ thống xã hội đối lập.', 'có nhiệm vụ chống đế quốc, phong kiến để đòi tự do dân chủ.', 'được lãnh đạo bởi những lực lượng xã hội tiên tiến.', 'xóa bỏ được ách áp bức của chủ nghĩa thực dân mới.']",Cách mạng tháng Tám năm 1945 ở Việt Nam và Cách mạng Cuba năm 1959 đều,,,1.0,,"So sánh, đối chiếu"," national liberation from imperialism and land reform tasks, reflecting the viewpoint of resolving national and class issues simultaneously and harmoniously.

    ---

    Answer the following history question: Cách mạng tháng Tám năm 1945 ở Việt Nam và Cách mạng Cuba năm 1959 đều

    Options:  A. chịu tác động bởi sự đối đầu giữa hai hệ thống xã hội đối lập.
B. có nhiệm vụ chống đế quốc, phong kiến để đòi tự do dân chủ.
C. được lãnh đạo bởi những lực lượng xã hội tiên tiến.
D. xóa bỏ được ách áp bức của chủ nghĩa thực dân mới.

    Answer:
model
[A] Both revolutions were fueled by the Cold War rivalry between the United States and the Soviet Union, with each country supporting the respective movements. The ideological conflict shaped the context and dynamics of both struggles.",A
37,history-2024-304-40,D,multiple_choice,12.0,"['Giai cấp bóc lột không thể là lực lượng cách mạng.', 'Liên minh công – nông là lực lượng lãnh đạo cách mạng.', 'Sự cần thiết phải liên minh với tư sản và đại địa chủ.', 'Quan điểm đại đoàn kết dân tộc của Nguyễn Ái Quốc.']","Cương lĩnh chính trị (đầu năm 1930) của Đảng Cộng sản Việt Nam do Nguyễn Ái Quốc soạn
thảo xác định: “Lực lượng cách mạng là công nhân, nông dân, tiểu tư sản, trí thức; còn phú nông,
trung, tiểu địa chủ và tư sản thì lợi dụng hoặc trung lập,...” (Lịch sử 12, NXB Giáo dục Việt Nam,
2020, tr. 88).
Đoạn tư liệu phản ánh nội dung nào sau đây?",,,,1.0,Đánh giá," minh công – nông là lực lượng lãnh đạo cách mạng.
C. Sự cần thiết phải liên minh với tư sản và đại địa chủ.
D. Quan điểm đại đoàn kết dân tộc của Nguyễn Ái Quốc.

    Answer:
model
[B] The excerpt clearly states that the revolutionary forces are the proletariat, peasants, petty bourgeoisie, and intellectuals, while landlords and wealthy merchants are either exploited or neutral. This directly reflects the alliance between workers and peasants as the leading force of the revolution",B
